last_name,first_name,gender,religion,religion_category,party,state,region,birthdate,bioguide_id,ugrad_degree,ugrad_school,ugrad_school_category,grad_degree,grad_school,grad_school_category,grad_degree2,grad_school_2,networth_2011,top_industry1,top_industry2,top_industry3,committee_name_1,committee_name_2,committee_name_3,committee_name_4,committee_name_5,committee_name_6,committee_name_7,committee_name_8,prior_occupation1,prior_occupation2,prior_occupation3,prior_occupation4,prior_occupation5,DW_nominate
Moran,Jerry,Male,Methodist,Protestant,Republican,KS,Midwest,5/29/54,M000934,B.S.,"University of Kansas, Lawrence, KS",Other Public,J.D.,Kansas University School of Law,Other Public,,,777009,Crop Production & Basic Processing,Agricultural Services/products,Health Professionals,Veterans Affairs,"Banking, Housing, and Urban Affairs",Appropriations,,,,,,"member, vice president, majority leader of Kansas state senate",Kansas state special asssistant attorney general,"deputy attorney, Rooks County, KS","University of Kansas School of Law board of governors, vice president, president","board of directors, Kansas chamber of commerce and industry",0.44
Roberts,Pat,Male,Methodist,Protestant,Republican,KS,Midwest,4/20/36,R000307,B.A.,Kansas State University,Land Grant University,none,none,None,,,1793518,Agricultural Services/products,Crop Production & Basic Processing,Commercial Banks,Joint Committee on Printing,Joint Committee on the Library,Senate Select Committee on Ethics,Rules and Administration,"Health, Education, Labor, and Pensions",Finance,"Agriculture, Nutrition, and Forestry",,U.S. Marine Corps as a captain,"newspaper publisher, Litchfield Park, AZ","administrative assistant, U.S. Senator Frank Carlson","admnistrative assistant, United States Congressman Keith Sebelius",,0.44
Coats,Daniel,Male,Presbyterian,Protestant,Republican,IN,Midwest,5/16/43,C000542,B.A.,Wheaton College,Religiously Affiliated,J.D.,Indiana University School of Law,Other Public,,,6319518,Securities & Investment,Lawyers/law Firms,Insurance,Joint Economic Committee,Senate Select Committee on Intelligence,"Commerce, Science, and Transportation",Appropriations,,,,,lawyer,served in the United States Army,U.S. Ambassador to the Federal Republic of Germany,,,0.444
Boozman,John,Male,Baptist,Protestant,Republican,AR,South,12/10/50,B001236,No Degree,University of Arkansas,Other Public,O.D.,Southern College of Optometry,Private Research,,,2938504,Health Professionals,Leadership Pacs,Securities & Investment,Commission on Security and Cooperation in Europe,Veterans Affairs,Environment and Public Works,Appropriations,"Agriculture, Nutrition, and Forestry",,,,optimetrist,business owner,rancher,"member of Rogers, Arkansas school board",,0.448
Grassley,Charles,Male,Baptist,Protestant,Republican,IA,Midwest,9/17/33,G000386,B.A.,University of Northern Iowa,Other Public,M.A.,University of Northern Iowa,Other Public,,,2565038,Insurance,Health Professionals,Lawyers/law Firms,Joint Committee on Taxation,United States Senate Caucus on International Narcotics Control,Judiciary,Finance,Budget,"Agriculture, Nutrition, and Forestry",,,engaged in agriculture,part-time university instructor,"member, Iowa house of representatives",,,0.453
Graham,Lindsey,Male,Southern Baptist,Protestant,Republican,SC,South,7/9/55,G000359,B.A.,University of South Carolina,Other Public,J.D.,University of South Carolina School of Law,Other Public,,,904983,Lawyers/law Firms,Real Estate,Electric Utilities,Judiciary,Budget,Armed Services,Appropriations,,,,,United States Air Force,"lawyer, private practice","assistant county attorney, Oconee County","city attorney for Central, S.C",member of the South Carolina state house of representatives,0.454
Shelby,Richard,Male,Presbyterian,Protestant,Republican,AL,South,5/6/34,S000320,B.A.,University of Alabama,Other Public,J.D.,University of Alabama School of Law,Other Public,,,7931023,Lawyers/law Firms,Securities & Investment,Real Estate,Rules and Administration,"Banking, Housing, and Urban Affairs",Appropriations,,,,,,lawyer; city prosecutor,"United States Commissioner, Northern District of Alabama","member, Alabama State senate",,,0.476
Isakson,John,Male,Methodist,Protestant,Republican,GA,South,12/28/44,I000055,B.A.,University of Georgia,Land Grant University,none,none,None,,,11985067,Real Estate,Lawyers/law Firms,Health Professionals,Senate Select Committee on Ethics,Veterans Affairs,"Health, Education, Labor, and Pensions",Finance,,,,,Georiga Air National Guard,member of Georgia state general assembly,member of the Georgia state senate,chair of the Georgia board of education,,0.479
Ayotte,Kelly,Female,Roman Catholic,Catholic,Republican,NH,Northeast,6/27/68,A000368,B.A.,Pennsylvania State University,Land Grant University,J.D.,Villanova University,Religiously Affiliated,,,773505,Securities & Investment,Lobbyists,Insurance,Commission on Security and Cooperation in Europe,Homeland Security and Governmental Affairs,"Commerce, Science, and Transportation",Budget,Armed Services,Senate Special Committee on Aging,,,lawyer,"prosecutor, New Hampshire Attorney General's office","staff, New Hampshire attorney general",counsel to New Hampshire Governor Craig Benson,attorney general of New Hampshire,0.48
Thune,John,Male,Protestant,Protestant,Republican,SD,Midwest,1/7/61,T000250,B.S.,Biola University,Religiously Affiliated,M.B.A.,University of South Dakota,Other Public,,,345008,Republican/conservative,Securities & Investment,Leadership Pacs,Finance,"Commerce, Science, and Transportation","Agriculture, Nutrition, and Forestry",,,,,,"board of directors, National League of Cities","staff, United States Senator James Abdnor of South Dakota",South Dakota state Republican party executive director,"director, South Dakota state railroad division","director, South Dakota state municipal league",0.483
McConnell,Mitch,Male,Baptist,Protestant,Republican,KY,South,2/20/42,M000355,B.A.,University of Louisville,Other Public,J.D.,University of Kentucky Law School,Land Grant University,,,27306524,Securities & Investment,Lawyers/law Firms,Health Professionals,Senate Select Committee on Intelligence,Rules and Administration,Appropriations,"Agriculture, Nutrition, and Forestry",,,,,legislative assistant to Senator Marlow Cook,deputy assistant United States attorney for legislative affairs,acting assistant attorney general,"elected judge-executive of Jefferson County, KY",,0.526
Chambliss,Saxby,Male,Episcopalian,Protestant,Republican,GA,South,11/10/43,C000286,B.A.,University of Georgia,Land Grant University,J.D.,University of Tennessee College of Law,Land Grant University,,,402006,Crop Production & Basic Processing,Lawyers/law Firms,Health Professionals,Joint Committee on Printing,Commission on Security and Cooperation in Europe,Senate Select Committee on Intelligence,Rules and Administration,Armed Services,"Agriculture, Nutrition, and Forestry",,,attorney,,,,,0.529
Burr,Richard,Male,Methodist,Protestant,Republican,NC,South,11/30/55,B001135,B.A.,Wake Forest University,Private Research,none,none,None,,,2151517,Health Professionals,Lawyers/law Firms,Pharmaceuticals/health Products,Senate Select Committee on Intelligence,Veterans Affairs,"Health, Education, Labor, and Pensions",Finance,,,,,,,,,,0.553
Sessions,Jefferson,Male,Methodist,Protestant,Republican,AL,South,12/24/46,S001141,B.A.,Huntingdon College,Religiously Affiliated,J.D.,University of Alabama School of Law,Other Public,,,6789034,Lawyers/law Firms,Health Professionals,Real Estate,Environment and Public Works,Judiciary,Budget,Armed Services,,,,,lawyer,"served in the United States Army Reserve, attaining the rank of captain",United States Attorney for the Southern District of Alabama,Alabama Attorney General,,0.559
Cornyn,John,Male,Church of Christ,Protestant,Republican,TX,South,2/2/52,C001056,B.A.,Trinity University,Liberal Arts,J.D.,St. Mary's School of Law,Religiously Affiliated,LL.M.,University of Virginia,423510,Lawyers/law Firms,Oil & Gas,Health Professionals,United States Senate Caucus on International Narcotics Control,Judiciary,Finance,,,,,,attorney,Bexar County district court judge,Texas supreme court,Texas state attorney general,,0.575
Enzi,Michael,Male,Presbyterian,Protestant,Republican,WY,West,2/1/44,E000285,B.A.,George Washington University,Private Research,M.B.A.,Denver University,Private Research,,,928531,Pharmaceuticals/health Products,Oil & Gas,Health Professionals,Small Business and Entrepreneurship,"Health, Education, Labor, and Pensions",Homeland Security and Governmental Affairs,Finance,Budget,,,,served in Wyoming National Guard,owned and operated family shoe stores,accountant,Ceritfied Professional in Human Resources,,0.582
Barrasso,John,Male,Presbyterian,Protestant,Republican,WY,West,7/21/52,B001261,B.S.,Georgetown University,Private Research,M.D.,Georgetown University School of Medicine,Private Research,,,6137509,Health Professionals,Oil & Gas,Leadership Pacs,Indian Affairs,Environment and Public Works,Energy and Natural Resources,Foreign Relations,,,,,"orthopedic surgeon, private practice",chief of staff of the Wyoming Medical Center,Wyoming State senate,"vice-chair, Republican Conference","chair, Republican Policy Committee",0.583
Crapo,Michael,Male,Latter Day Saints,Mormon,Republican,ID,West,5/20/51,C000880,B.A.,Brigham Young University,Religiously Affiliated,J.D.,Harvard University School of Law,Ivy League,,,892518,Securities & Investment,Insurance,Leadership Pacs,Indian Affairs,Environment and Public Works,Finance,Budget,"Banking, Housing, and Urban Affairs",,,,lawyer,"vice chair, Bonneville County Republican Committee","vice chair, Legislative District 29 Republican Committee",Idaho State senator,,0.595
Rubio,Marco,Male,Roman Catholic,Catholic,Republican,FL,South,5/28/71,R000595,B.S.,University of Florida,Land Grant University,J.D.,University of Miami,Private Research,,,-45494,Republican/conservative,Securities & Investment,Real Estate,Small Business and Entrepreneurship,Senate Select Committee on Intelligence,Foreign Relations,"Commerce, Science, and Transportation",,,,,"lawyer, West Miami Commission",member of the Florida house of representatives; majority leader; speaker,,,,0.619
Risch,James,Male,Roman Catholic,Catholic,Republican,ID,West,5/3/43,R000584,B.A.,University of Wisconsin,Land Grant University,J.D.,University of Idaho College of Law,Land Grant University,,,53385526,Republican/conservative,Leadership Pacs,Mining,United States Senate Caucus on International Narcotics Control,Small Business and Entrepreneurship,Senate Select Committee on Ethics,Senate Select Committee on Intelligence,Energy and Natural Resources,Foreign Relations,,,"Ada County, Idaho, prosecuting attorney","Idaho State senator, majority leader, president pro tempore",lieutenant governor of Idaho; governor of Idaho,,,0.62
Vitter,David,Male,Catholic,Catholic,Republican,LA,South,5/3/61,V000127,A.B.,Harvard University,Ivy League,J.D.,Tulane University School of Law,Private Research,,,1640030,Health Professionals,Lawyers/law Firms,Oil & Gas,Small Business and Entrepreneurship,Environment and Public Works,"Banking, Housing, and Urban Affairs",Armed Services,,,,,member of the Louisiana state house of representatives,,,,,0.623
Toomey,Patrick,Male,Roman Catholic,Catholic,Republican,PA,Northeast,11/17/61,T000461,B.A.,Harvard University,Ivy League,none,none,None,,,3168034,Republican/conservative,Securities & Investment,Business Services,Joint Economic Committee,Finance,Budget,"Banking, Housing, and Urban Affairs",,,,,"elected to Allentown, PA, Government Study Commission",,,,,0.654
Inhofe,James,Male,Presbyterian,Protestant,Republican,OK,South,11/17/34,I000024,B.A.,University of Tulsa,Religiously Affiliated,none,none,None,,,11440024,Oil & Gas,Leadership Pacs,Electric Utilities,Environment and Public Works,Armed Services,,,,,,,served in the U.S. Army,"president, Quaker Life Insurance company","member, Oklahoma State house of representatives",State senate,mayor of Tulsa,0.692
Johnson,Ron,Male,Lutheran,Protestant,Republican,WI,Midwest,4/8/55,J000293,B.S.,University of Minnesota,Land Grant University,M.B.A.,University of Minnesota,Land Grant University,,,23755008,Health Professionals,Republican/conservative,Securities & Investment,Small Business and Entrepreneurship,Homeland Security and Governmental Affairs,Foreign Relations,"Commerce, Science, and Transportation",Budget,,,,plastics manufacturing company owner and founder,accountant,,,,0.721
Coburn,Thomas,Male,Baptist,Protestant,Republican,OK,South,3/14/48,C000560,B.S.,Oklahoma State University,Land Grant University,M.D.,Oklahoma State Medical School,Land Grant University,,,3702058,Health Professionals,Republican/conservative,Oil & Gas,Senate Select Committee on Intelligence,Homeland Security and Governmental Affairs,"Banking, Housing, and Urban Affairs",,,,,,"manufacturing manager, Coburn Opthalmic Divison, Coburn Optical Industries",,,physician,"past chair, Muskogee Regional Medical Center",0.816
Scott,Tim,Male,Christian,Protestant,Republican,SC,South,9/19/65,S001184,B.S.,Charleston Southern University,Religiously Affiliated,none,none,None,,,3598007,Real Estate,Insurance,Republican/conservative,Small Business and Entrepreneurship,"Health, Education, Labor, and Pensions",Energy and Natural Resources,"Commerce, Science, and Transportation",Senate Special Committee on Aging,,,,entrepreneur,"Charleston County, S.C. council",,,,0.867
Lee,Mike,Male,Mormon,Mormon,Republican,UT,West,6/4/71,L000577,B.A.,Brigham Young University,Religiously Affiliated,J.D.,Brigham Young University,Religiously Affiliated,,,111002,Lawyers/law Firms,Business Services,Computers/internet,Joint Economic Committee,Judiciary,Energy and Natural Resources,Armed Services,,,,,law clerk to the 3rd Circuit Court of Appeals Justice Samuel Alito,lawyer,assistant U.S. attorney,counsel to Utah Governor John Huntsman,law clerk to United States Supreme Court Justice Samuel Alito,0.999
Paul,Rand,Male,Presbyterian,Protestant,Republican,KY,South,1/7/63,P000603,No Degree,Baylor University,Religiously Affiliated,M.D.,Duke University,Private Research,,,864012,Health Professionals,Republican/conservative,Leadership Pacs,Small Business and Entrepreneurship,"Health, Education, Labor, and Pensions",Homeland Security and Governmental Affairs,Foreign Relations,,,,,ophthalmologist,,,,,1
Flake,Jeff,Male,Latter Day Saints,Mormon,Republican,AZ,West,12/31/62,F000444,B.A.,Brigham Young University,Religiously Affiliated,M.A.,Brigham Young University,Religiously Affiliated,,,32500,Republican/conservative,Real Estate,Leadership Pacs,Judiciary,Energy and Natural Resources,Foreign Relations,Senate Special Committee on Aging,,,,,"Executive Director, Goldwater Institute",,,,,1.013
Cowan,William,Male,Christian,Protestant,Democrat,MA,Northeast,4/4/69,C001099,A.B.,Duke University,Private Research,J.D.,Northeastern University School of Law,Private Research,,,183001,Building Trade Unions,Public Sector Unions,Health Professionals,Small Business and Entrepreneurship,"Commerce, Science, and Transportation","Agriculture, Nutrition, and Forestry",,,,,,law partner,legal counsel and chief of staff to Massachusetts Governor Deval Patrick,,,,
Fischer,Deb,Female,Presbyterian,Protestant,Republican,NE,Midwest,3/1/51,F000463,B.S.,University of Nebraska,Other Public,none,none,None,,,323501,Leadership Pacs,Commercial Banks,Crop Production & Basic Processing,Small Business and Entrepreneurship,Indian Affairs,Environment and Public Works,"Commerce, Science, and Transportation",Armed Services,,,,rancher,Valentine Rural High School Board of Education,Nebraska Coordinating Commission for Postsecondary Education,Nebraska Unicameral Legislature,,
Kaine,Timothy,Male,Roman Catholic,Catholic,Democrat,VA,South,2/26/58,K000384,B.A.,University of Missouri,Land Grant University,J.D.,Harvard University School of Law,Ivy League,,,1087007,Lawyers/law Firms,Securities & Investment,Real Estate,Foreign Relations,Budget,Armed Services,,,,,,lawyer,Richmond City Council,"mayor of Richmond, VA","lieutenant governor, governor of Virginia",chairman of Democratic National Committee,
Cruz,Ted,Male,Baptist,Protestant,Republican,TX,South,12/22/70,C001098,B.A.,Princeton University,Ivy League,J.D.,Harvard University School of Law,Ivy League,,,1661021,Republican/conservative,Lawyers/law Firms,Oil & Gas,Rules and Administration,Judiciary,"Commerce, Science, and Transportation",Armed Services,Senate Special Committee on Aging,,,,law clerk to Chief Justice of the United States William Rehnquist,"associate deputy attorney general, U.S. Department of Justice","director of the Office of Policy Planning, FTC",Solicitor general of Texas,lawyer,
Heitkamp,Heidi,Female,Roman Catholic,Catholic,Democrat,ND,Midwest,10/30/55,H001069,B.A.,University of North Dakota,Other Public,J.D.,Lewis & Clark College,Private Research,,,3499544,Lawyers/law Firms,Leadership Pacs,Women's Issues,Small Business and Entrepreneurship,Indian Affairs,Homeland Security and Governmental Affairs,"Banking, Housing, and Urban Affairs","Agriculture, Nutrition, and Forestry",,,,"lawyer, Environmental Protection Agency","lawyer, Office of the North Dakota State Tax Commissioner","director, Dakota Gasification Company",tax commissioner of North Dakota,attorney general of North Dakota,
Warren,Elizabeth,Female,Methodist,Protestant,Democrat,MA,Northeast,6/22/49,W000817,B.S.,University of Houston,Other Public,J.D.,Rutgers University School of Law,Land Grant University,,,9652512,Lawyers/law Firms,Women's Issues,Education,"Health, Education, Labor, and Pensions","Banking, Housing, and Urban Affairs",Senate Special Committee on Aging,,,,,,elementary school teacher,lawyer,bankruptcy analyst,"chair, Congressional Oversight Panel for the TARP Program",special assistant to President Barack Obama for the CFPB,
King,Angus,Male,Episcopalian,Protestant,Independent,ME,Northeast,3/31/44,K000383,B.A.,Dartmouth College,Ivy League,J.D.,University of Virgina School of Law,Other Public,,,16023078,Lawyers/law Firms,Securities & Investment,Health Professionals,Senate Select Committee on Intelligence,Rules and Administration,Budget,Armed Services,,,,,Pine Tree Legal Assistance,Chief Counsel to U.S. Senate Subcommittee on Alcoholism and Narcotics in the office of former Maine Senator William Hathaway,"Smith, Loyd and King","Northeast Energy Management, Inc.",71st Governor of the State of Maine,
Schatz,Brian,Male,Jewish,Jewish,Democrat,HI,West,10/20/72,S001194,B.A.,Pomona College,Liberal Arts,none,none,None,,,,Lawyers/law Firms,Civil Servants/public Officials,Real Estate,Indian Affairs,Energy and Natural Resources,"Commerce, Science, and Transportation",,,,,,teacher,member of Hawaii state house of representatives,"CEO, Helping Hands Hawaii","chairman, Democratic Party of Hawaii",Hawaii lieutenant governor,
Chiesa,Jeffrey,Male,Roman Catholic,Catholic,Republican,NJ,Northeast,6/22/65,C001100,B.A.,University of Notre Dame,Religiously Affiliated,J.D.,Catholic University of America Law School,Religiously Affiliated,,,,,,,"Commerce, Science, and Transportation",Homeland Security and Governmental Affairs,Small Business and Entrepreneurship,,,,,,Lawyer,assistant US attorney,chief counsel gov Chris Christie,attorney general NJ,,
